# Data from hep-ex/0701051
# D=0.7, 0.7<|y_{jet}|<1.1
58.0	1.230e+01	 4.0	 4.0	1.700e+00	1.700e+00
67.0	5.480e+00	 5.0	 5.0	7.900e-01	7.900e-01
77.5	2.400e+00	 5.5	 5.5	2.900e-01	3.000e-01
89.5	1.000e+00	 6.5	 6.5	1.200e-01	1.600e-01
103.0	4.150e-01	 7.0	 7.0	5.100e-02	5.300e-02
118.5	1.730e-01	 8.5	 8.5	2.300e-02	2.400e-02
136.5	6.830e-02	 9.5	 9.5	8.700e-03	9.200e-03
157.5	2.520e-02	11.5	11.5	3.600e-03	3.800e-03
182.0	8.950e-03	13.0	13.0	1.320e-03	1.420e-03
209.5	3.040e-03	14.5	14.5	4.900e-04	5.300e-04
241.5	9.520e-04	17.5	17.5	1.790e-04	1.930e-04
278.5	2.530e-04	19.5	19.5	5.600e-05	6.100e-05
321.0	6.180e-05	23.0	23.0	1.660e-05	1.810e-05
370.0	1.110e-05	26.0	26.0	3.800e-06	4.300e-06
426.5	1.530e-06	30.5	30.5	7.000e-07	8.500e-07
492.0	2.170e-07	35.0	35.0	1.600e-07	1.970e-07
