# outgoing part. 	 | BR(Delta BR) 	 [Origin] 	 | DC-file
{211,-211}	 | 0.60 [FK]	 | f0980_pi+pi-.dat;
{111,111}	 | 0.30 [FK]	 | f0980_pipi.dat;
{22,22}	 | 0.10 [FK]	 | f0980_PP.dat;

