0 52 0 0.5 0  0  113
0  2  
0.01  3  
0.02  3  
0.03  2  
0.04  1  
0.05  0  
0.06  2  
0.07  1  
0.08  2  
0.09  9  
0.1  3  
0.11  1  
0.12  1  
0.13  1  
0.14  3  
0.15  2  
0.16  1  
0.17  1  
0.18  0  
0.19  2  
0.2  2  
0.21  1  
0.22  4  
0.23  4  
0.24  1  
0.25  2  
0.26  3  
0.27  2  
0.28  1  
0.29  5  
0.3  3  
0.31  3  
0.32  1  
0.33  0  
0.34  3  
0.35  1  
0.36  6  
0.37  3  
0.38  6  
0.39  1  
0.4  0  
0.41  2  
0.42  4  
0.43  3  
0.44  3  
0.45  1  
0.46  2  
0.47  1  
0.48  4  
0.49  1  
0.5  0  
