0 52 0 0.5 0  0  47
0  1  
0.01  1  
0.02  3  
0.03  1  
0.04  1  
0.05  0  
0.06  1  
0.07  1  
0.08  1  
0.09  1  
0.1  1  
0.11  1  
0.12  0  
0.13  2  
0.14  1  
0.15  2  
0.16  0  
0.17  1  
0.18  1  
0.19  1  
0.2  0  
0.21  0  
0.22  2  
0.23  0  
0.24  0  
0.25  0  
0.26  1  
0.27  2  
0.28  3  
0.29  0  
0.3  2  
0.31  0  
0.32  1  
0.33  0  
0.34  0  
0.35  0  
0.36  0  
0.37  3  
0.38  2  
0.39  0  
0.4  0  
0.41  1  
0.42  3  
0.43  2  
0.44  1  
0.45  1  
0.46  0  
0.47  1  
0.48  1  
0.49  0  
0.5  0  
