-3.905 0.0002 0.0007 0.095
-3.7145 0.0005 0.0007 0.0955
-3.524 0.0019 0.0007 0.095
-3.3335 0.0037 0.0007 0.0955
-3.143 0.0070 0.0007 0.095
-2.9525 0.0123 0.0011 0.0955
-2.762 0.0174 0.0014 0.095
-2.5715 0.0201 0.0014 0.0955
-2.381 0.0143 0.0011 0.095
-2.1905 0.0142 0.0012 0.0955
-2 0.0228 0.0013 0.095
-1.8095 0.0320 0.0018 0.0955
-1.619 0.0389 0.0020 0.095
-1.4285 0.0447 0.0020 0.0955
-1.238 0.0407 0.0019 0.095
-1.0475 0.0385 0.0019 0.0955
-0.857 0.0372 0.0019 0.095
-0.6665 0.0396 0.0019 0.0955
-0.476 0.0382 0.0017 0.095
-0.2855 0.0361 0.0019 0.0955
-0.095 0.0325 0.0019 0.095
0.095 0.0329 0.0016 0.095
0.2855 0.0350 0.0017 0.0955
0.476 0.0385 0.0019 0.095
0.6665 0.0435 0.0021 0.0955
0.857 0.0400 0.0020 0.095
1.0475 0.0393 0.0019 0.0955
1.238 0.0400 0.0020 0.095
1.4285 0.0482 0.0021 0.0955
1.619 0.0421 0.0020 0.095
1.8095 0.0308 0.0018 0.0955
2 0.0262 0.0015 0.095
2.1905 0.0157 0.0013 0.0955
2.381 0.0179 0.0011 0.095
2.5715 0.0198 0.0014 0.0955
2.762 0.0156 0.0012 0.095
2.9525 0.0127 0.0009 0.0955
3.143 0.0069 0.0008 0.095
3.3335 0.0041 0.0007 0.0955
3.524 0.0016 0.0007 0.095
3.7145 0.0005 0.0007 0.0955
3.905 0.0002 0.0007 0.095
