# outgoing part. 	 | BR(Delta BR) 	 [Origin] 	 | DC-file
{323,-211}	 | 0.62267(0.009)	 | K11400_Kstar892+pi-.dat;
{313,111}	 | 0.31133(0.004)	 | K11400_Kstar892pi.dat;
{321,-213}	 | 0.04400(0.009)	 | K11400_K+rho770+b.dat;
{311,113}	 | 0.0220(0.004)	 | K11400_Krho770.dat;

