# outgoing part. 	 | BR(Delta BR) 	 [Origin] 	 | DC-file

{511,411}	 | 0.3[Pythia]	 | Bc2star+_BD+.dat;
{521,421}	 | 0.3[Pythia]	 | Bc2star+_B+D.dat;
{513,411}	 | 0.2[Pythia]	 | Bc2star+_BstarD+.dat;
{523,421}	 | 0.2[Pythia]	 | Bc2star+_Bstar+D.dat;
