# outgoing part. 	 | BR(Delta BR) 	 [Origin] 	 | DC-file

{11,-11}	 | 0.0238(0.0011)[PDG]	 | Upsilon1S_e-e+.dat;
{13,-13}	 | 0.0248(0.0005)[PDG]	 | Upsilon1S_mu-mu+.dat;
{15,-15}	 | 0.026(0.001)[PDG]	 | Upsilon1S_tau-tau+.dat;

{1,-1}	 | 0.0091	 | Upsilon1S_ddb.dat;
{2,-2}	 | 0.0365	 | Upsilon1S_uub.dat;
{3,-3}	 | 0.0091	 | Upsilon1S_ssb.dat;

{21,21,21}	 | 0.8472	 | Upsilon1S_GGG.dat;
{22,21,21}	 | 0.0235	 | Upsilon1S_PGG.dat;
