kf      Mass     Width	  3*e  Y   2*Spin  on  stbl     Name  	 
117     1.691	 0.16	    0  0     6     0    0       rho(3)(1690)
217     1.691	 0.16	    3  0     6     0    0	rho(3)(1690)+
227     1.667	 0.168	    0  0     6     0    0	omega(3)(1670)
317     1.776	 0.159	    0  0     6     0    0	K(3)*(1780)
327     1.776	 0.159	    3  0     6     0    0	K(3)*(1780)+
337     1.854	 0.087	    0  0     6     0    0	phi(3)(1850)
119     2.014	 0.361	    0  0     8     0    0       a(4)(2040)
219     2.014	 0.361	    3  0     8     0    0	a(4)(2040)+
229     2.044	 0.208	    0  0     8     0    0	f(4)(2050)
319     2.045	 0.198	    0  0     8     0    0	K(4)*(2045)
329     2.045	 0.198	    3  0     8     0    0	K(4)*(2045)+
339     2.2311	 0.023	    0  0     8     0    0	f(J)(2220)
10111	0.9834	 0.075	    0  0     0     1    0	a(0)(980)
10211	0.9834	 0.075	    3  0     0     1    0	a(0)(980)+
10221	0.98	 0.070	    0  0     0     1    0	f(0)(980)
10311	1.429	 0.287	    0  0     0     1    0	K(0)*(1430)
10321	1.429	 0.287	    3  0     0     1    0	K(0)*(1430)+
10331	1.4	 0.5	    0  0     0     1    0	f(0)(1370)
10411   2.26511  0.05       3  0     0     1    0       D*(0)+
10421   2.272    0.05       0  0     0     1    0       D*(0)           
10431   2.5      0.05       3  0     0     1    0       D*(s0)+          
10441	3.4173	 0.014	    0  0     0     1    0	chi(c0)(1P)
10511   5.68     0.05       0  0     0     1    0       B*(0)           
10521   5.68     0.05       3  0     0     1    0       B*(0)+           
10531   5.92     0.05       0  0     0     1    0       B*(s0)          
10541   7.25     0.05       3  0     0     1    0       B*(c0)+          
10551	9.8598	 0.050	    0  0     0     1    0	chi(b0)(1P)
10113	1.2295	 0.142	    0  0     2     1    0	b(1)(1235)
10213	1.2295	 0.142	    3  0     2     1    0	b(1)(1235)+
10223	1.17	 0.36	    0  0     2     1    0	h(1)(1170)
10313	1.272	 0.09	    0  0     2     1    0	K(1)(1270)
10323	1.272	 0.09	    3  0     2     1    0	K(1)(1270)+
10333	1.386	 0.091	    0  0     2     1    0	h(1)(1380)
10413   2.424    0.02       3  0     2     1    0       D(1)(2420)+
10423	2.4222	 0.0189	    0  0     2     1    0	D(1)(2420)
10433	2.5353	 0.001	    3  0     2     1    0	D(s1)(2536)+
10443   3.46     0.01       0  0     2     1    0       h(c1)
10513   5.73     0.05       0  0     2     1    0       B(1)
10523   5.73     0.05       3  0     2     1    0       B(1)+
10533   5.97     0.05       0  0     2     1    0       B(s1)0
10543   7.3      0.05       3  0     2     1    0       B(c1)+
10553   9.875    0.01       0  0     2     1    0       h(b1)
10115	1.67	 0.258	    0  0     4     0    0	pi(2)(1670)
10215	1.67	 0.258	    3  0     4     0    0	pi(2)(1670)+
10225	1.617	 0.181	    0  0     4     0    0	eta(2)(1645)
10315	1.773	 0.186	    0  0     4     0    0	K(2)(1770)
10325	1.773	 0.186	    3  0     4     0    0	K(2)(1770)+
10335	1.842	 0.225	    0  0     4     0    0	eta(2)(1870)
20113	1.23	 0.400	    0  0     2     1    0	a(1)(1260)
20213	1.23	 0.400	    3  0     2     1    0	a(1)(1260)+
20223	1.2819	 0.024	    0  0     2     1    0	f(1)(1285)
20313	1.402	 0.174	    0  0     2     1    0	K(1)(1400)
20323	1.402	 0.174	    3  0     2     1    0	K(1)(1400)+
20333	1.4262	 0.055	    0  0     2     1    0	f(1)(1420)
20413   2.39155  0.003      3  0     2     1    0       D_1(H)+
20423   2.43267  0.003      0  0     2     1    0       D_1(H)
20433   2.56     0.003      3  0     2     1    0       D*_1s+
20443	3.51053	 0.00088    0  0     2     1    0	chi(c1)(1P)
20513   5.78     0.05       0  0     2     1    0       B*(1)
20523   5.78     0.05       3  0     2     1    0       B*(1)+
20533   6.02     0.05       0  0     2     1    0       B*(s1)
20543   7.3      0.05       3  0     2     1    0       B*(c1)+
20553	9.8919	 0.001	    0  0     2     1    0	chi(b1)(1P)
20315	1.816	 0.276	    0  0     4     0    0	K(2)(1820)
20325	1.816	 0.276	    3  0     4     0    0	K(2)(1820)+
30113	1.7	 0.24	    0  0     2     0    0	rho(1700)
30213	1.7	 0.24	    3  0     2     0    0	rho(1700)+
30223	1.670	 0.31	    0  0     2     0    0	omega(1650)
30313	1.717	 0.32	    0  0     2     0    0	K*(1680)
30323	1.717	 0.32	    3  0     2     0    0	K*(1680)+
30333	1.900	 0.32	    0  0     2     0    0	f1(1900)_fict
30443	3.7699	 0.0236	    0  0     2     0    0	psi(3770)
100111	1.3	 0.400	    0  0     0     0    0	pi(1300)
100211	1.3	 0.400	    3  0     0     0    0	pi(1300)+
100221	1.297	 0.053	    0  0     0     0    0	eta(1295)
100311	1.46	 0.26	    0  0     0     0    0	K(1460)
100321	1.46	 0.26	    3  0     0     0    0	K(1460)+
100331	1.476	 0.08	    0  0     0     0    0	eta(1475)
100113	1.465	 0.31	    0  0     2     0    0	rho(1450)
100213	1.465	 0.31	    3  0     2     0    0	rho(1450)+
100223	1.419	 0.17	    0  0     2     0    0	omega(1420)
100313	1.414	 0.232	    0  0     2     0    0	K*(1410)
100323	1.414	 0.232	    3  0     2     0    0	K*(1410)+
