{-13,14}		| 0.63400
{-11,12}		| 0.00002
{111,-11,12}		| 0.04870
{111,-13,14}		| 0.03270
{111,111,-11,12} 	| 0.00002
{211,-211,-11,12}	| 0.00004
{211,-211,-13,14}	| 0.00001
{211,111}		| 0.21117
{211,111,111}		| 0.01730
{211,211,-211}		| 0.05576
{211,111,22}		| 0.00028
