# outgoing part. 	 | BR 
{211,-211,111}	 | 0.89242
{111,22}	 | 0.0892
{111,111,22}	 | 0.00007
{221,22}	 | 0.00049
{111,11,-11}     | 0.0006
{111,13,-13}     | 0.00096
{211,-211}	 | 0.017
{11,-11}	 | 0.00007
{13,-13}	 | 0.00009
