{321,-321}	| 0.4908 	|
{310,130}  	| 0.3399	|
{211,-211,111}  | 0.1539	|
{221,22}	| 0.01295	|
{111,22}	| 0.00123	|
{11,-11}	| 0.00030	|
{13,-13}	| 0.00029	|
{221,11,-11}	| 0.00012	|
{211,-211}	| 0.00007	|
{223,111}	| 0.00005	|
{211,-211,22}	| 0.00004	|
{111,111,22}	| 0.00011	|
{111,11,-11}    | 0.00001	|
{221,111,22}	| 0.00008	|
{331,22}	| 0.00006	|
