# outgoing part. 	 | BR(Delta BR) 	 [Origin] 	 | DC-file
{323,-211}	 | 0.250 [FK]	 | Kstar1410_Kstar892+pi-.dat;
{313,111}	 | 0.250 [FK]	 | Kstar1410_Kstar892pi.dat;
{321,-213}	 | 0.250 [FK]	 | Kstar1410_K+rho770+b.dat;
{311,113}	 | 0.250 [FK]	 | Kstar1410_Krho770.dat;

! NO_FULLDECAY   ! use this option: no decay of daughters
! NO_ANTI        ! use this option: anti-mother does not decay
