# Data from hep-ex/0701051
# D=0.7, 1.1<|y_{jet}|<1.6
58.0	1.100e+01	 4.0	 4.0	1.600e+00	1.700e+00
67.0	4.400e+00	 5.0	 5.0	6.800e-01	6.900e-01
77.5	1.820e+00	 5.5	 5.5	2.800e-01	2.800e-01
89.5	7.220e-01	 6.5	 6.5	1.270e-01	1.270e-01
103.0	2.980e-01	 7.0	 7.0	4.300e-02	4.300e-02
118.5	1.140e-01	 8.5	 8.5	1.800e-02	1.800e-02
136.5	4.100e-02	 9.5	 9.5	6.400e-03	6.400e-03
157.5	1.390e-02	11.5	11.5	2.500e-03	2.400e-03
182.0	4.190e-03	13.0	13.0	8.000e-04	8.200e-04
209.5	1.150e-03	14.5	14.5	2.600e-04	2.700e-04
241.5	2.730e-04	17.5	17.5	7.300e-05	8.200e-05
278.5	5.180e-05	19.5	19.5	1.620e-05	1.910e-05
321.0	7.990e-06	23.0	23.0	3.170e-06	3.920e-06
370.0	1.050e-06	26.0	26.0	6.700e-07	9.300e-07
