# outgoing part. 	 | BR(Delta BR) 	 [Origin] 	 | DC-file
{421,211}	 | 0.677(0.005) [PDG]	 | Dstar2010+_Dpi+.dat;
{411,111}	 | 0.307(0.005) [PDG]	 | Dstar2010+_D+pi.dat;
{411,22}	 | 0.016(0.004) [PDG]	 | Dstar2010+_D+P.dat;

! NO_FULLDECAY   ! use this option: no decay of daughters
! NO_ANTI        ! use this option: anti-mother does not decay
