# outgoing part. 	 | BR(Delta BR) 	 [Origin] 	 | DC-file
{3122,-321}	 | .678(.007) [PDG]	 
{3322,-211}	 | .236(.007) [PDG]	 
{3312,111}	 | .086(.004) [PDG]	 
{3324,-211}	 | .00064(.0005) [PDG]	 
{3314,111}	 | .00023(.0002) [FK]	 
{3322,11,-12}	 | .0056(.0028) [PDG]	 

! NO_FULLDECAY   ! use this option: no decay of daughters
! NO_ANTI        ! use this option: anti-mother does not decay
