# outgoing part. 	 | BR(Delta BR) 	 [Origin] 	 | DC-file

{2224,-211}	 | 0.001[EvtGen]	 | Lambdac+_Delta1232++pi-.dat;
{2224,-213}	 | 0.001[EvtGen]	 | Lambdac+_Delta1232++rho770-.dat;
{2212,111}	 | 0.002[EvtGen]	 | Lambdac+_P+pi.dat;
{2212,221}	 | 0.001[EvtGen]	 | Lambdac+_P+eta.dat;
{2212,331}	 | 0.001[EvtGen]	 | Lambdac+_P+etaprime958.dat;
{2212,113}	 | 0.002[EvtGen]	 | Lambdac+_P+rho770.dat;
{2212,223}	 | 0.002[EvtGen]	 | Lambdac+_P+omega782.dat;
{2212,333}	 | 0.0013[EvtGen]	 | Lambdac+_P+phi1020.dat;
{10221,2212}	 | 0.0018[EvtGen]	 | Lambdac+_f0980P+.dat;
{2214,111}	 | 0.001[EvtGen]	 | Lambdac+_Delta1232+pi.dat;
{2214,221}	 | 0.001[EvtGen]	 | Lambdac+_Delta1232+eta.dat;
{2214,331}	 | 0.001[EvtGen]	 | Lambdac+_Delta1232+etaprime958.dat;
{2214,113}	 | 0.001[EvtGen]	 | Lambdac+_Delta1232+rho770.dat;
{2214,223}	 | 0.001[EvtGen]	 | Lambdac+_Delta1232+omega782.dat;
{2112,211}	 | 0.003[EvtGen]	 | Lambdac+_npi+.dat;
{2112,213}	 | 0.003[EvtGen]	 | Lambdac+_nrho770+.dat;
{2114,211}	 | 0.003[EvtGen]	 | Lambdac+_Delta1232pi+.dat;
{2114,213}	 | 0.003[EvtGen]	 | Lambdac+_Delta1232rho770+.dat;
{3122,321}	 | 0.005[EvtGen]	 | Lambdac+_LambdaK+.dat;
{3122,323}	 | 0.005[EvtGen]	 | Lambdac+_LambdaKstar892+.dat;
{3212,321}	 | 0.002[EvtGen]	 | Lambdac+_SigmaK+.dat;
{3212,323}	 | 0.002[EvtGen]	 | Lambdac+_SigmaKstar892+.dat;
{3214,321}	 | 0.001[EvtGen]	 | Lambdac+_Sigma1385K+.dat;
{3214,323}	 | 0.001[EvtGen]	 | Lambdac+_Sigma1385Kstar892+.dat;
{3222,311}	 | 0.002[EvtGen]	 | Lambdac+_Sigma+K.dat;
{3222,313}	 | 0.002[EvtGen]	 | Lambdac+_Sigma+Kstar892.dat;
{3224,311}	 | 0.001[EvtGen]	 | Lambdac+_Sigma1385+K.dat;
{3224,313}	 | 0.001[EvtGen]	 | Lambdac+_Sigma1385+Kstar892.dat;
{3201,2,1,-1}	 | 0.13[EvtGen]	 | Lambdac+_su_0uddb.dat;
{3203,2,1,-1}	 | 0.057[EvtGen]	 | Lambdac+_su_1uddb.dat;
{3201,-3,2,1}	 | 0.035[EvtGen]	 | Lambdac+_su_0sbud.dat;
{2101,2,1,-1}	 | 0.035[EvtGen]	 | Lambdac+_ud_0uddb.dat;
{2203,3}	 | 0.095[EvtGen]	 | Lambdac+_uu_1s.dat;
{3201,2}	 | 0.14[EvtGen]	 | Lambdac+_su_0u.dat;
{3203,2}	 | 0.14[EvtGen]	 | Lambdac+_su_1u.dat;
{2203,1}	 | 0.03[EvtGen]	 | Lambdac+_uu_1d.dat;
{2101,2}	 | 0.015[EvtGen]	 | Lambdac+_ud_0u.dat;
{2103,2}	 | 0.015[EvtGen]	 | Lambdac+_ud_1u.dat;
