2760.      84.7  3.3  62.8  2.9  21.8  1.4
7000.	   98.0  2.5  72.9  1.5  25.1  1.1
8000.	  101.7  2.9  74.7  1.7  27.1  1.4   
13000.	  110.6  3.4  79.5  1.8  31.0  1.7
