0 53 0 3.264 0  0  51
0  0  
0.064  0  
0.128  0  
0.192  -1.43869e-06  
0.256  -9.76502e-05  
0.32  -0.000731334  
0.384  -0.00297094  
0.448  -0.0090053  
0.512  -0.0231051  
0.576  -0.0535361  
0.64  -0.116654  
0.704  -0.244494  
0.768  -0.491408  
0.832  -0.902  
0.896  -1.45602  
0.96  -2.1131  
1.024  -2.85435  
1.088  -3.6767  
1.152  -4.58168  
1.216  -5.56936  
1.28  -6.64529  
1.344  -7.80743  
1.408  -9.0618  
1.472  -10.4096  
1.536  -11.8503  
1.6  -13.3887  
1.664  -15.0279  
1.728  -16.7699  
1.792  -18.6122  
1.856  -20.5638  
1.92  -22.6191  
1.984  -24.7827  
2.048  -27.061  
2.112  -29.4478  
2.176  -31.9545  
2.24  -34.5762  
2.304  -37.3174  
2.368  -40.1804  
2.432  -43.162  
2.496  -46.2735  
2.56  -49.5013  
2.624  -52.8679  
2.688  -56.3647  
2.752  -59.985  
2.816  -63.7409  
2.88  -67.6372  
2.944  -71.6791  
3.008  -75.8386  
3.072  -80.1589  
3.136  -84.6056  
3.2  -89.2126  
3.264  0  
