# outgoing part. 	 | BR(Delta BR) 	 [Origin] 	 | DC-file

{443,22}	 | 0.203(0.01)[PDG]	 | chic21P_Jpsi1SP.dat;
{22,22}	 | 0.000258(1.9e-05)[PDG]	 | chic21P_PP.dat;
{21,21}	 | 0.797	 | chic21P_GG.dat;
